target,init,shots,n_bits,noise,probability,time_sampling,l2_error,fro_norm,fidelity
cudaq-cpu,ghz,8192,6,Bit Flip,1.0,0.0255074969973065,0.0887551072491334,1.224744871391658,0.2499999999999997
cudaq-cpu,ghz,8192,7,Bit Flip,1.0,0.1122825849961373,0.0632811840669265,1.224744871391671,0.2500000000000009
cudaq-cpu,ghz,8192,8,Bit Flip,1.0,0.5608280800006469,0.0453592651029458,1.2247448713923834,0.2500000000000032
cudaq-cpu,ghz,8192,9,Bit Flip,1.0,2.2790546429969254,0.0331613614585343,1.224744871387563,0.2499999999999957
cudaq-cpu,ghz,8192,10,Bit Flip,1.0,12.098776956998336,0.0243443829866708,1.224744871377255,0.2500000000000466
cudaq-cpu,ghz,8192,11,Bit Flip,1.0,67.3660030339961,0.0189582701741378,1.224744871425274,0.2500000000000221
cudaq-gpu,zero,262144,3,none,0.0,0.1628608703613281,2.1073424176942392e-08,5.960464455334603e-08,0.9999999403953552
cudaq-gpu,zero,262144,4,none,0.0,0.02268648147583,2.9802322387695312e-08,1.1920928955078125e-07,0.9999998807907104
cudaq-gpu,zero,262144,5,none,0.0,0.0237605571746826,3.1610136343918214e-08,1.788139341041273e-07,0.9999998211860656
cudaq-gpu,zero,262144,6,none,0.0,0.0276284217834472,2.9802322387695312e-08,2.384185791015625e-07,0.9999997615814208
cudaq-gpu,zero,262144,7,none,0.0,0.0564546585083007,1.5805068171959107e-08,1.788139341041273e-07,0.9999998211860656
cudaq-gpu,zero,262144,8,none,0.0,0.0731775760650634,1.4901161193847656e-08,2.384185791015625e-07,0.9999997615814208
cudaq-gpu,zero,262144,9,none,0.0,0.0429861545562744,7.902534085979553e-09,1.788139341041273e-07,0.9999998211860656
cudaq-gpu,zero,262144,10,none,0.0,0.0810995101928711,1.1175870895385742e-08,3.5762786865234375e-07,0.9999996423721312
cudaq-gpu,zero,262144,3,Depol,0.01,0.0013067722320556,2.1073424176942392e-08,0.0172126117177214,0.9850748330354688
cudaq-gpu,zero,262144,4,Depol,0.01,0.0016210079193115,2.9802322387695312e-08,0.0221605034450497,0.980149395763874
cudaq-gpu,zero,262144,5,Depol,0.01,0.0030686855316162,3.1610136343918214e-08,0.0270689144560691,0.9752485789358616
cudaq-gpu,zero,262144,6,Depol,0.01,0.0061409473419189,2.9802322387695312e-08,0.0319449366082375,0.970372261479497
cudaq-gpu,zero,262144,7,Depol,0.01,0.0289483070373535,1.5805068171959107e-08,0.0367918027668896,0.9655204424634576
cudaq-gpu,zero,262144,8,Depol,0.01,0.1535608768463134,1.4901161193847656e-08,0.0416115538004496,0.9606927637942136
cudaq-gpu,zero,262144,9,Depol,0.01,1.0789756774902344,7.902534085979553e-09,0.0464050654873931,0.9558893444482236
cudaq-gpu,zero,262144,10,Depol,0.01,7.136399984359741,1.1175870895385742e-08,0.0511734024288915,0.9511097074719146
cudaq-gpu,zero,262144,3,Bit Flip,0.01,0.0006477832794189,2.1073424176942392e-08,5.960464455334603e-08,0.9999999403953552
cudaq-gpu,zero,262144,4,Bit Flip,0.01,0.0012338161468505,2.9802322387695312e-08,1.1920928955078125e-07,0.9999998807907104
cudaq-gpu,zero,262144,5,Bit Flip,0.01,0.0015397071838378,3.1610136343918214e-08,1.788139341041273e-07,0.9999998211860656
cudaq-gpu,zero,262144,6,Bit Flip,0.01,0.0039024353027343,2.9802322387695312e-08,2.384185791015625e-07,0.9999997615814208
cudaq-gpu,zero,262144,7,Bit Flip,0.01,0.0137052536010742,1.5805068171959107e-08,1.788139341041273e-07,0.9999998211860656
