target,n_bits,shots,sim_time_s,l2_error
qiskit-aer,25,65536,6.010064781003166,0.0039066076114992
qiskit-aer,26,65536,12.798482272999536,0.0039060115741444
qiskit-aer,27,65536,25.569240799995896,0.0039060115741444
qiskit-aer,28,65536,53.16351532599947,0.00390630960419
qiskit-aer,3,131072,0.0488816790020791,0.0015732840089075
qiskit-aer,4,131072,0.0526429719975567,0.0016281564093541
qiskit-aer,5,131072,0.063036519997695,0.0032360686449675
qiskit-aer,6,131072,0.0679481560000567,0.0029201551171985
qiskit-aer,7,131072,0.0811856939981225,0.0025230581896065
qiskit-aer,8,131072,0.1080259800000931,0.0027170929408058
qiskit-aer,9,131072,0.1630534380019526,0.0028423769840518
qiskit-aer,10,131072,0.1440949330062721,0.0027779588313338
qiskit-aer,11,131072,0.1496179349996964,0.002785429147991
qiskit-aer,12,131072,0.1622726019995752,0.0027704683717186
qiskit-aer,13,131072,0.1770630699975299,0.0028070573663279
qiskit-aer,14,131072,0.1876965980045497,0.002762957605321
qiskit-aer,15,131072,0.1349771730019711,0.0027789225202206
qiskit-aer,16,131072,0.1577084150048904,0.0027579390642663
qiskit-aer,17,131072,0.2205097650003153,0.0027604283888885
qiskit-aer,18,131072,0.2138851859999704,0.0027580234849423
qiskit-aer,19,131072,0.2536143379984423,0.002767167828876
qiskit-aer,20,131072,0.3185457950021373,0.0027640949976764
qiskit-aer,21,131072,0.4678850170021178,0.0027621990835592
qiskit-aer,22,131072,0.8278326150029898,0.0027622623016616
qiskit-aer,23,131072,1.4800175709970065,0.0027607868354244
qiskit-aer,24,131072,3.27562722699804,0.0027621990835592
qiskit-aer,25,131072,8.156042577997141,0.0027627469257213
qiskit-aer,26,131072,14.05100662699988,0.0027622833740409
qiskit-aer,27,131072,29.306728643001406,0.0027618197445565
qiskit-aer,28,131072,59.18197807799879,0.0027620937168398
qiskit-aer,3,262144,0.098390235005354,0.0015285373417866
qiskit-aer,4,262144,0.102872067996941,0.0012077960481732
qiskit-aer,5,262144,0.1103317509987391,0.001622820818935
qiskit-aer,6,262144,0.1294436079988372,0.0016545674976415
qiskit-aer,7,262144,0.15355767699657,0.002086196517668
qiskit-aer,8,262144,0.1971316159979323,0.0019699430573675
qiskit-aer,9,262144,0.2859626119970926,0.0019469835164066
qiskit-aer,10,262144,0.2745901570015121,0.0019739427360939
qiskit-aer,11,262144,0.2882517519974499,0.0019815213525845
qiskit-aer,12,262144,0.3066704430020763,0.0019575679432417
qiskit-aer,13,262144,0.3289051559986546,0.0019652689455699
qiskit-aer,14,262144,0.3462266709975665,0.0019598561764038
qiskit-aer,15,262144,0.2812995860003866,0.0019557160833372
qiskit-aer,16,262144,0.2976927190029528,0.001956616202046
qiskit-aer,17,262144,0.3259330549990409,0.0019620675762227
