n_bits,shots,sim_time_s,throughput,l2_error,backend,init,method
24,16384,3.8961885500029894,4205.1352981845375,0.007813453616115849,CPU,ghz,statevector
25,16384,7.821119824991911,2094.8406835100427,0.007813453616115849,CPU,ghz,statevector
26,16384,13.667790123989107,1198.730727599008,0.007813453616115849,CPU,ghz,statevector
27,16384,26.75836836399685,612.2944335441815,0.0078120231482889935,CPU,ghz,statevector
3,32768,0.0111306579929078,2943940.962059837,0.24990016091076522,CPU,ghz,statevector
4,32768,0.012014546999125741,2727360.4241911424,0.1775470102375633,CPU,ghz,statevector
5,32768,0.013966001002700068,2346269.3432189296,0.12596522139724714,CPU,ghz,statevector
6,32768,0.017459276001318358,1876824.6746042431,0.0891784624106649,CPU,ghz,statevector
7,32768,0.022608266008319333,1449381.3894414597,0.06285428424771945,CPU,ghz,statevector
8,32768,0.0284284000081243,1152650.1664052682,0.04447733643791671,CPU,ghz,statevector
9,32768,0.06871103199955542,476895.7625350762,0.03200038376406686,CPU,ghz,statevector
10,32768,0.05307194699707907,617426.001005832,0.022868521828358912,CPU,ghz,statevector
11,32768,0.09744091000175104,336285.85775123764,0.016565789219996314,CPU,ghz,statevector
12,32768,0.09445407601015177,346919.9147793066,0.012339295054158731,CPU,ghz,statevector
13,32768,0.08862102500279434,369754.2428443677,0.00954083164314919,CPU,ghz,statevector
14,32768,0.10456142800103407,313385.1614925911,0.007834284926673861,CPU,ghz,statevector
15,32768,0.29065437099779956,112738.71398358594,0.006799875233010476,CPU,ghz,statevector
16,32768,0.07153568298963364,458065.103044427,0.006185665417358291,CPU,ghz,statevector
17,32768,0.10793114500120282,303600.9670761375,0.005858262274308004,CPU,ghz,statevector
18,32768,0.09181048099708278,356909.1420078845,0.005703440618273274,CPU,ghz,statevector
19,32768,0.10733106899715494,305298.3661316985,0.005606104851229054,CPU,ghz,statevector
20,32768,0.18061089199909475,181428.70364742033,0.005567597378897076,CPU,ghz,statevector
21,32768,0.3158219370088773,103754.667298741,0.005547320119701462,CPU,ghz,statevector
22,32768,1.0155735690059373,32265.51084041498,0.0055311794923070855,CPU,ghz,statevector
23,32768,1.5268850940046832,21460.684977974837,0.005526799960396474,CPU,ghz,statevector
24,32768,4.075718954001786,8039.808526990411,0.005526799960396474,CPU,ghz,statevector
25,32768,7.557421264005825,4335.870511290152,0.005526631447553675,CPU,ghz,statevector
26,32768,18.336448928006575,1787.0417619384896,0.005524777467052197,CPU,ghz,statevector
27,32768,36.14487743799691,906.5738307236034,0.005524946036442068,CPU,ghz,statevector
3,65536,0.023874139005783945,2745062.3448293866,0.2493775953460148,CPU,ghz,statevector
4,65536,0.03267282200977206,2005826.126081149,0.17725203506768628,CPU,ghz,statevector
5,65536,0.026808701004483737,2444579.4665336134,0.12548784523082937,CPU,ghz,statevector
6,65536,0.03717050100385677,1763118.554501056,0.08889168883636055,CPU,ghz,statevector
7,65536,0.09060351899825037,723327.3136031898,0.06262853563035242,CPU,ghz,statevector
8,65536,0.07169113199051935,914143.7466584664,0.04427166136266469,CPU,ghz,statevector
9,65536,0.09288602700689808,705552.8383739897,0.031327828705544715,CPU,ghz,statevector
10,65536,0.09575727400078904,684397.0934203911,0.02244575650884344,CPU,ghz,statevector
11,65536,0.12777433500741608,512904.2541774626,0.01607975216779233,CPU,ghz,statevector
12,65536,0.08269087500229944,792542.1033237053,0.01167076937738418,CPU,ghz,statevector
13,65536,0.09095609300129581,720523.4727822614,0.00872194304841195,CPU,ghz,statevector
14,65536,0.10430225200252607,628327.7565129927,0.006767853515218186,CPU,ghz,statevector
15,65536,0.11114918699604459,589621.9466034619,0.005526041612136749,CPU,ghz,statevector
16,65536,0.09922038699733093,660509.4173011333,0.004795097223560148,CPU,ghz,statevector
17,65536,0.18920076599169988,346383.3756512118,0.004376214318689773,CPU,ghz,statevector
18,65536,0.1599081610038411,409835.2428580914,0.004146181103562628,CPU,ghz,statevector
19,65536,0.20713946600153577,316385.86921680154,0.004023751644721974,CPU,ghz,statevector
20,65536,0.30271738801093306,216492.35424042796,0.003966404743806659,CPU,ghz,statevector
21,65536,0.9781476610078244,67000.10909648924,0.003936826720274018,CPU,ghz,statevector
22,65536,1.8531589790072758,35364.478030431674,0.003922963151016521,CPU,ghz,statevector
23,65536,3.2444130840012804,20199.647302363715,0.003915121019114077,CPU,ghz,statevector
24,65536,6.383655600991915,10266.217994250313,0.0039113726405455755,CPU,ghz,statevector
25,65536,10.269101348007098,6381.863200981888,0.003908454749658794,CPU,ghz,statevector
26,65536,24.421573534986237,2683.528966964943,0.003906846000979956,CPU,ghz,statevector
27,65536,41.40001979599765,1582.9944121508777,0.0039066076114992465,CPU,ghz,statevector
3,131072,0.06137800100259483,2135488.2508222903,0.24886991452731985,CPU,ghz,statevector
4,131072,0.0629661959974328,2081624.877026777,0.1770997888560473,CPU,ghz,statevector
5,131072,0.07074743500561453,1852674.941354384,0.12451341244536702,CPU,ghz,statevector
6,131072,0.0766868560021976,1709184.6873503837,0.08775324283360121,CPU,ghz,statevector
7,131072,0.09153342900390271,1431957.7167202104,0.06243599654345521,CPU,ghz,statevector
8,131072,0.10656588499841746,1229962.1028056631,0.044391490303056384,CPU,ghz,statevector
9,131072,0.16204206399561372,808876.3915247831,0.03128128795140353,CPU,ghz,statevector
10,131072,0.1899685749958735,689966.7484627242,0.022209606474269568,CPU,ghz,statevector
11,131072,0.15794834500411525,829840.9204387991,0.015876170581974974,CPU,ghz,statevector
12,131072,0.15670588400098495,836420.4116239577,0.011426301479722848,CPU,ghz,statevector
13,131072,0.18688158599252347,701363.9107560002,0.008312602601368214,CPU,ghz,statevector
14,131072,0.2193405100115342,597573.1523242445,0.006168647386930369,CPU,ghz,statevector
15,131072,0.13638146501034498,961069.0132274042,0.004786592384788514,CPU,ghz,statevector
