n_bits,shots,sim_time_s,throughput,l2_error,backend,init,method
26,4096,1.7179489940026542,2384.2384228513783,0.01562833750366164,GPU,zero,statevector
27,4096,3.5634776549995877,1149.4389460400514,0.015624761579601881,GPU,zero,statevector
3,8192,0.003611516993260011,2268298.893591892,0.005625839170802204,GPU,zero,statevector
4,8192,0.003995080012828112,2050522.1356507686,0.0070463230906551814,GPU,zero,statevector
5,8192,0.004659889993490651,1757981.4140340898,0.010339290614189306,GPU,zero,statevector
6,8192,0.0053660460107494146,1526636.1830646913,0.011621709214269438,GPU,zero,statevector
7,8192,0.005927122008870356,1382121.0340769254,0.010557494292206862,GPU,zero,statevector
8,8192,0.028983418000279926,282644.37272101175,0.010842977534766823,GPU,zero,statevector
9,8192,0.007947933991090395,1030708.1071864968,0.011351882751526045,GPU,zero,statevector
10,8192,0.00902923900866881,907274.6875052269,0.011086242714592508,GPU,zero,statevector
11,8192,0.010562141993432306,775600.2527795882,0.010983615116408196,GPU,zero,statevector
12,8192,0.012454154988517985,657772.4468301988,0.01082234387661206,GPU,zero,statevector
13,8192,0.014009528007591143,584744.896156467,0.010987684378091396,GPU,zero,statevector
14,8192,0.015385226011858322,532458.8662971822,0.011017479706588208,GPU,zero,statevector
15,8192,0.018250527005875483,448863.7504748607,0.01107548459200562,GPU,zero,statevector
16,8192,0.02000011599739082,409597.6243872142,0.011083554162906413,GPU,zero,statevector
17,8192,0.023352005999186076,350804.9801068708,0.011035048222646018,GPU,zero,statevector
18,8192,0.027050781005527824,302837.8366719233,0.01104584572838244,GPU,zero,statevector
19,8192,0.034508295997511595,237392.1911586341,0.011048543456039806,GPU,zero,statevector
20,8192,0.048429721005959436,169152.32691495266,0.011051240525152613,GPU,zero,statevector
21,8192,0.07492111700412352,109341.66931266025,0.011052588812905467,GPU,zero,statevector
22,8192,0.11765733399079181,69625.91894731465,0.01104584572838244,GPU,zero,statevector
23,8192,0.21127558901207522,38774.00147506769,0.011048543456039806,GPU,zero,statevector
24,8192,0.4132743649970507,19822.182776951242,0.011047194674559342,GPU,zero,statevector
25,8192,0.8363171899982262,9795.3265794015,0.011048543456039806,GPU,zero,statevector
26,8192,1.7193930440116674,4764.471991166442,0.011047869085882858,GPU,zero,statevector
27,8192,3.559370893999585,2301.5303108226617,0.011048206276106682,GPU,zero,statevector
3,16384,0.006278109998675063,2609702.602129891,0.0059137995672799435,GPU,zero,statevector
4,16384,0.006789895007386804,2412997.547410624,0.006040938980302062,GPU,zero,statevector
5,16384,0.007255913005792536,2258020.4568219515,0.0070758675518503115,GPU,zero,statevector
6,16384,0.007933066997793503,2065279.418988524,0.009131642680305196,GPU,zero,statevector
7,16384,0.00894091499503702,1832474.64147624,0.007156485940966725,GPU,zero,statevector
8,16384,0.009731336002005264,1683633.161636169,0.007954733245664123,GPU,zero,statevector
9,16384,0.011070223001297563,1480006.3194824168,0.008070500330110154,GPU,zero,statevector
10,16384,0.01456039100594353,1125244.5070542458,0.007437278423695223,GPU,zero,statevector
11,16384,0.014887869998347014,1100493.2204418161,0.007781443857742595,GPU,zero,statevector
12,16384,0.017262445006053895,949112.3646884421,0.007857668955021442,GPU,zero,statevector
13,16384,0.02956811900367029,554110.3239596084,0.007808207286223111,GPU,zero,statevector
14,16384,0.021643252999638207,757002.655759459,0.007823459567463057,GPU,zero,statevector
15,16384,0.024568306995206513,666875.4181228954,0.007836780962898167,GPU,zero,statevector
16,16384,0.03003588499268517,545480.8474593008,0.007791012779038322,GPU,zero,statevector
17,16384,0.0352861489955103,464318.16637413873,0.007830598847641418,GPU,zero,statevector
18,16384,0.034543557005235925,474299.7369239248,0.007807253029294864,GPU,zero,statevector
