n_bits,shots,sim_time_s,throughput,l2_error,backend
8,8192,0.025866119000056642,316707.7364788301,0.010901910918831107,GPU
9,8192,0.051796888999888324,158156.21667968636,0.01041968619769204,GPU
10,8192,0.030213811000066926,271134.28358911275,0.011321651319020453,GPU
11,8192,0.026468616000784095,309498.6152565485,0.010949645791791543,GPU
12,8192,0.042020017999675474,194954.69992571799,0.011005300458578754,GPU
13,8192,0.07310633899942331,112055.94633954548,0.011125153701234812,GPU
14,8192,0.06415566800023953,127689.41942852834,0.011026943154918178,GPU
15,8192,0.060149122999064275,136194.83695759688,0.011039098524937901,GPU
16,8192,0.05705357599981653,143584.3390434693,0.011010715120878594,GPU
17,8192,0.06436518800001068,127273.76792558489,0.011060675087963177,GPU
18,8192,0.06759280900041631,121196.32430055607,0.011040448295502943,GPU
19,8192,0.08731724000062968,93818.81516114027,0.011044496617448751,GPU
20,8192,0.08232984200003557,99502.19508494211,0.01104584572838244,GPU
21,8192,0.0974750250006764,84042.04051184551,0.011049892072884137,GPU
22,8192,0.14877434200025164,55063.25815231059,0.011049892072884137,GPU
23,8192,0.23099853499843448,35463.428372199494,0.011049892072884137,GPU
24,8192,0.44823056399945926,18276.308351007236,0.011047194674559342,GPU
25,8192,0.8487021860000823,9652.38470588693,0.011048543456039806,GPU
26,8192,1.7247699189993,4749.619012808934,0.011047869085882858,GPU
27,8192,3.547177118000036,2309.44205137938,0.011048206276106682,GPU
3,16384,0.04046873300103471,404855.76851593284,0.0074267521945347754,GPU
4,16384,0.02871851299823902,570503.0758732057,0.008220508865885318,GPU
5,16384,0.05694294899876695,287726.5805175419,0.005967727813271639,GPU
6,16384,0.060157701998832636,272350.82883182494,0.007509556880277055,GPU
7,16384,0.05516726200039557,296987.73159854335,0.007989313110264639,GPU
8,16384,0.023211624000396114,705853.2397268025,0.0074872003052713154,GPU
9,16384,0.02583412700005283,634199.8705807436,0.007830123098143871,GPU
10,16384,0.054187613999602036,302356.91868847236,0.00785387527033199,GPU
11,16384,0.07463969600030396,219507.8608028264,0.007801047513999247,GPU
12,16384,0.07283830199958174,224936.59997859478,0.007824411847859435,GPU
13,16384,0.06482349799989606,252747.85387277728,0.007775217743795986,GPU
14,16384,0.0673668950003048,243205.50917369538,0.007826316061041158,GPU
15,16384,0.07109037800000806,230467.19487126856,0.00786714516318634,GPU
16,16384,0.06003904600038368,272889.0795482543,0.007845332772495233,GPU
17,16384,0.06246300900056667,262299.2433786109,0.007820602030543921,GPU
18,16384,0.07168165999974008,228566.13532749395,0.007820125672874495,GPU
19,16384,0.06613786500020069,247724.96057969643,0.007796270679607307,GPU
20,16384,0.07916133799881209,206969.72049974525,0.00782536401237137,GPU
21,16384,0.0897132159989269,182626.38138171277,0.007808207286223111,GPU
22,16384,0.15544217400019988,105402.5402396838,0.007810115450300039,GPU
23,16384,0.21947377099968435,74651.2894245735,0.007813453616115849,GPU
24,16384,0.43389580300026864,37760.21774515726,0.0078110693575341675,GPU
25,16384,0.8648186410009657,18945.012541631495,0.0078115462674688265,GPU
26,16384,1.716182886999377,9546.768077058648,0.007813453616115849,GPU
27,16384,3.5586379549986304,4604.008670504472,0.007812976822607176,GPU
3,32768,0.039447277998988284,830678.3550652192,0.0051087556049417915,GPU
4,32768,0.012896694999653846,2540805.997263602,0.005789338201838086,GPU
5,32768,0.014360547000251245,2281807.231954793,0.006746248704006487,GPU
6,32768,0.018775779999486986,1745227.095806157,0.005748008320893309,GPU
7,32768,0.018023684999207035,1818052.190850076,0.00547107919410252,GPU
8,32768,0.017270751999603817,1897311.709458377,0.004940832655111983,GPU
9,32768,0.02062178199957998,1588999.4376173413,0.005714859582405818,GPU
10,32768,0.05356595299963374,611731.8588586309,0.005614902652395959,GPU
11,32768,0.02933908200066071,1116872.0275318113,0.005474482665158973,GPU
12,32768,0.030762190999666927,1065203.7106314953,0.005534714276658943,GPU
13,32768,0.030068320000282256,1089784.8632611467,0.005489772173283412,GPU
14,32768,0.038070720998803154,860713.9329205281,0.005506879849300256,GPU
15,32768,0.07480772300004901,438029.64033510996,0.005518874294656892,GPU
16,32768,0.07819618300163711,419048.5870558921,0.0055082326417666,GPU
17,32768,0.06963352499951725,470577.929240652,0.005536564929709924,GPU
18,32768,0.10040699300043343,326351.77113469125,0.005519211788881006,GPU
19,32768,0.13338089299941203,245672.3692811417,0.00552747396039415,GPU
20,32768,0.12832730800073477,255347.05364358128,0.005521404998500208,GPU
21,32768,0.11972404799962533,273696.05812278035,0.005521404998500208,GPU
22,32768,0.1723158289987623,190162.44874541016,0.005524777467052197,GPU
23,32768,0.23971132000042417,136697.75795294947,0.005522585596756984,GPU
24,32768,0.4389244490012061,74655.21703009521,0.005524103138053341,GPU
25,32768,0.8932324629986397,36684.73925588831,0.005524103138053341,GPU
26,32768,1.7446386869996786,18782.112447794203,0.005524271728019903,GPU
27,32768,3.6174839150007756,9058.229634171843,0.0055252831597932955,GPU
3,65536,0.024414534000243293,2684302.719001187,0.00440986923621844,GPU
4,65536,0.027157837999766343,2413152.328273107,0.0035102511766895096,GPU
5,65536,0.029162928998630377,2247236.551687859,0.004079493687590569,GPU
6,65536,0.027396781000788906,2392105.84623474,0.0035483821028060043,GPU
7,65536,0.030105678999461816,2176865.0360342828,0.004068406378098627,GPU
8,65536,0.028915885000969865,2266435.905309551,0.004196805038493917,GPU
9,65536,0.049293543999738176,1329504.73190461,0.0037775288864889387,GPU
10,65536,0.055997710000156076,1170333.572566045,0.003916012961370081,GPU
11,65536,0.049362995001501986,1327634.192333871,0.0038576681324059914,GPU
12,65536,0.04757721200076048,1377466.1701268342,0.00391583458917209,GPU
13,65536,0.05882509499861044,1114082.3487246062,0.003926226083026218,GPU
14,65536,0.11131685799955449,588733.8286197612,0.003948932158110794,GPU
15,65536,0.08608283400099026,761313.2253434651,0.0039032686300246636,GPU
16,65536,0.09516500199970324,688656.5294266937,0.003917796236691962,GPU
17,65536,0.10081229600109509,650079.4307798337,0.003885092658713954,GPU
18,65536,0.12066497100022389,543123.6543360907,0.0039075014970609365,GPU
19,65536,0.1704876019994117,384403.31866610533,0.003904759599555049,GPU
20,65536,0.1308072309984709,501012.05797075614,0.0039026124229769765,GPU
21,65536,0.1689105469995411,387992.34958476597,0.0039092290962369275,GPU
22,65536,0.20674486399911984,316989.73668472364,0.003905594293873804,GPU
23,65536,0.3570312969986844,183558.13776247602,0.003904222916116796,GPU
24,65536,0.5738316009992559,114207.72206667821,0.003906846000979956,GPU
25,65536,0.9039424040001904,72500.19438183829,0.0039058923557589442,GPU
26,65536,1.7789328210001258,36840.06457486984,0.003906905596077334,GPU
27,65536,3.6440271770006802,17984.49814360091,0.003906488411303588,GPU
3,131072,0.06524011799956497,2009070.5538097585,0.003612822426197547,GPU
4,131072,0.07726452099996095,1696406.0386793343,0.002521027187441595,GPU
5,131072,0.07270876000075077,1802698.876980526,0.0024571625578928068,GPU
6,131072,0.09417726200081233,1391758.4480091322,0.002876372803883118,GPU
7,131072,0.07922795800004678,1654365.4955731991,0.0032769825978487856,GPU
8,131072,0.08069754600001033,1624237.743239221,0.0025736968346389915,GPU
9,131072,0.10424722599964298,1257318.8278453462,0.0027334535272245494,GPU
10,131072,0.09112041099979251,1438448.2967301197,0.0027209035220422816,GPU
11,131072,0.11376107800060709,1152169.1100650483,0.0026818596930323715,GPU
12,131072,0.1381512219995784,948757.4420470924,0.002775338421410498,GPU
13,131072,0.10806440900159942,1212906.2770154052,0.0028290346339838158,GPU
14,131072,0.11198313699969731,1170461.9419650147,0.0027681352745071324,GPU
15,131072,0.14262553799926536,918993.9041679557,0.002766010656245951,GPU
16,131072,0.1646674499988876,795980.019128768,0.002763631672111845,GPU
17,131072,0.18142660400008026,722451.9288248487,0.002756862474044229,GPU
18,131072,0.20576021499982744,637013.3312706245,0.0027659685681190416,GPU
19,131072,0.20603780199962785,636155.1071110569,0.002759331675142917,GPU
20,131072,0.2147614830009843,610314.2806077534,0.0027626626493829597,GPU
21,131072,0.29673281100076565,441717.24575366155,0.0027629154706862815,GPU
22,131072,0.2911300689993368,450218.008914423,0.002761756516323826,GPU
23,131072,0.41066656800103374,319168.9078514667,0.0027623465902142457,GPU
24,131072,0.6511784220001573,201284.3109840767,0.002762283374040902,GPU
25,131072,1.008877083999323,129918.7007800922,0.0027621147905053066,GPU
26,131072,1.9189720209997176,68303.2366108788,0.002762283374040902,GPU
27,131072,3.7382642190004844,35062.26214129008,0.00276232551831721,GPU
3,262144,0.12547570599963365,2089201.235502635,0.0016737177160297937,GPU
4,262144,0.13999605900062306,1872509.8540011994,0.0020980002646843235,GPU
5,262144,0.13633805099925667,1922750.0912524357,0.0021454543839349353,GPU
6,262144,0.1548564639997494,1692819.2290405405,0.001730510831713015,GPU
7,262144,0.1577981020000152,1661262.0600466712,0.001969182052206797,GPU
8,262144,0.1782272609998472,1470841.2087431718,0.001939465020922148,GPU
9,262144,0.17315799899915874,1513900.6082027638,0.0019343712596941885,GPU
10,262144,0.15284754799904476,1715068.4026781921,0.0019377986265397013,GPU
11,262144,0.15005441699941002,1746992.8925919633,0.0019011434708513834,GPU
12,262144,0.15898250899954292,1648885.7903277504,0.0019570772594860748,GPU
13,262144,0.18452139599867223,1420669.9368450816,0.0019847939890910854,GPU
14,262144,0.2088987699989957,1254885.3207764712,0.0019556193517215985,GPU
15,262144,0.25402107700028864,1031977.358318586,0.0019564228230414134,GPU
16,262144,0.296551430999898,883974.8272875141,0.0019500902560212717,GPU
17,262144,0.34790659000100277,753489.6076537223,0.0019459368635428966,GPU
18,262144,0.39498544200068864,663680.1565956017,0.0019497544292188583,GPU
19,262144,0.4690654400001222,558864.451834123,0.0019523052641108047,GPU
20,262144,0.5295169809996878,495062.49923296523,0.0019524021599226673,GPU
21,262144,0.5682338879996678,461331.1622839243,0.0019526481046199208,GPU
22,262144,0.5178067599990754,506258.35784853034,0.001952476691890396,GPU
23,262144,0.6145942990006006,426531.77946211933,0.001953542187957705,GPU
24,262144,0.8079223469994758,324466.8265131798,0.001953080296004816,GPU
25,262144,1.320626295000693,198499.7580256892,0.001953482595132837,GPU
26,262144,2.1156608580004104,123906.43756001708,0.0019531920540743325,GPU
27,262144,4.0265470940012165,65103.920028787026,0.0019531846037353084,GPU
3,524288,0.18875230099911278,2777650.9066369706,0.0009370693382390263,GPU
4,524288,0.20213067199983925,2593807.2377279634,0.0012578150800269777,GPU
5,524288,0.23562319799930265,2225111.9773085825,0.0015612903956957534,GPU
6,524288,0.30778483299945947,1703423.7681260947,0.0011050052736964807,GPU
7,524288,0.3259787530005269,1608350.2227494947,0.0013501118491946098,GPU
8,524288,0.2808230500013451,1866969.2534052625,0.0013867644475405458,GPU
9,524288,0.3140441110008396,1669472.4773826385,0.0013468420637577734,GPU
10,524288,0.34202810999886424,1532879.8559911961,0.0013683787546043275,GPU
11,524288,0.388328951999938,1350113.0865979926,0.0013906206681084938,GPU
12,524288,0.3021710479988542,1735070.2639188254,0.0013860769574837897,GPU
13,524288,0.3265090790009708,1605737.8912836942,0.0013735135216065167,GPU
