n_bits,Probability,noise,sim_time_s,l2_pop,fro_norm,fidelity
9,0.01,Amplitude Damping,3.330533000000287,0.008057565347026,0.03139130343091196,0.9776682816015609
10,0.01,Amplitude Damping,14.883358846000192,0.007798659462541572,0.033944718214589026,0.9752179697263659
3,0.01,Phase Damping,0.2192021589999058,0.007331336060105859,0.03421048973633694,0.9702989999999994
4,0.01,Phase Damping,0.43323281799985125,0.008557990842935112,0.04392407229938552,0.9605960099999995
5,0.01,Phase Damping,0.045909020000181044,0.00651276863847376,0.053511136351603344,0.9509900498999992
6,0.01,Phase Damping,0.23781395200057887,0.008510410917382106,0.06298682869989443,0.9414801494009994
7,0.01,Phase Damping,0.9399377560002904,0.008425504847039744,0.07235866442752242,0.9320653479069889
8,0.01,Phase Damping,0.8130405590000009,0.008133492799534937,0.08163104267168635,0.9227446944279187
9,0.01,Phase Damping,3.2763228959993285,0.007941609707921952,0.0908068901557114,0.9135172474836398
10,0.01,Phase Damping,15.3658311399995,0.007574755519283141,0.09988836069000642,0.9043820750088005
3,0.01,Bit Flip,0.110928836000312,0.004156668907222026,2.220446049250313e-16,0.9999999999999993
4,0.01,Bit Flip,0.03346077999958652,0.006545291317604741,6.661338147750939e-16,0.9999999999999993
5,0.01,Bit Flip,0.046253521999460645,0.005683811878331453,5.551115123125783e-16,0.999999999999999
6,0.01,Bit Flip,0.06338120300006267,0.007814883822104116,9.992007221626409e-16,0.9999999999999989
7,0.01,Bit Flip,0.20537213199986581,0.00787613700045827,8.881784197001252e-16,0.9999999999999991
8,0.01,Bit Flip,0.7516627459999654,0.007592930439494134,1.2212453270876722e-15,0.9999999999999999
9,0.01,Bit Flip,2.5675430700002835,0.008100908214373563,1.2212453270876722e-15,1.0000000000000009
10,0.01,Bit Flip,12.819542102000014,0.007645734455463671,1.5543122344752192e-15,0.9999999999999999
3,0.1,none,0.10614028600048186,0.006318244284476335,2.220446049250313e-16,0.9999999999999993
4,0.1,none,0.07461465500000486,0.008768693845736314,6.661338147750939e-16,0.9999999999999993
5,0.1,none,0.05027265999979136,0.006798779450998204,5.551115123125783e-16,0.999999999999999
6,0.1,none,0.06268080400059262,0.00875849175520122,9.992007221626409e-16,0.9999999999999989
7,0.1,none,0.13688720600021043,0.007429259792335419,8.881784197001252e-16,0.9999999999999991
8,0.1,none,0.26117728499957593,0.007608614278441124,1.2212453270876722e-15,0.9999999999999999
9,0.1,none,0.9174144480002724,0.007591458418328181,1.2212453270876722e-15,1.0000000000000009
10,0.1,none,6.060168795000209,0.007628662074215375,1.5543122344752192e-15,0.9999999999999999
3,0.1,Depolarizing,0.12210480100020504,0.0033329889993838004,0.21242564098819547,0.8130370370370361
4,0.1,Depolarizing,0.04119082399938634,0.0072521478496846235,0.26458011740230136,0.7588345679012336
5,0.1,Depolarizing,0.04602495600011025,0.006585577397213824,0.31312632185690187,0.7082455967078177
6,0.1,Depolarizing,0.11914691799938737,0.006980458230222557,0.358398219819515,0.661029223593963
7,0.1,Depolarizing,0.30996368099931715,0.007585076358840813,0.40065362778898556,0.6169606086876986
8,0.1,Depolarizing,0.9235965870002474,0.0071694878156098076,0.44011170338567257,0.5758299014418522
9,0.1,Depolarizing,3.9973975789998804,0.007468269300753139,0.476967224215434,0.5374412413457283
10,0.1,Depolarizing,21.132073652000145,0.007725228189598018,0.5113971325745746,0.5016118252560133
3,0.1,Amplitude Damping,0.10806163200049923,0.057365319563564825,0.14497468537903124,0.9249831077996247
4,0.1,Amplitude Damping,0.04936286699921766,0.05119798300018619,0.17114458062413784,0.9012495665739932
5,0.1,Amplitude Damping,0.034724046999144775,0.03944505287911527,0.195215498459698,0.8781249888790024
6,0.1,Amplitude Damping,0.057194230999812135,0.032849164188034956,0.21777376123102807,0.8555937497146524
7,0.1,Amplitude Damping,0.20136773400008678,0.024049090823081213,0.23915283722278574,0.8336406249926769
8,0.1,Amplitude Damping,0.6309894319992964,0.019061934978678797,0.2595618947539742,0.8122507812498108
9,0.1,Amplitude Damping,2.401092177999999,0.015237778503526495,0.2791416865519211,0.7914097656249938
10,0.1,Amplitude Damping,11.754829626000173,0.012626756281546461,0.29799217720368537,0.7711034960937484
