target,init,shots,n_bits,sim_time_s,l2_error
qiskit-cpu,zero,2048,10,0.008022352005355,0.0232126256328217
qiskit-cpu,zero,2048,11,0.0488394720014184,0.0218038218376622
qiskit-cpu,zero,2048,12,0.0103361320070689,0.0220322542435126
qiskit-cpu,zero,2048,13,0.0137017889937851,0.0217819414289018
qiskit-cpu,zero,2048,14,0.0185734840051736,0.0220106009171575
qiskit-cpu,zero,2048,15,0.0274624110024888,0.0221509691840112
qiskit-cpu,zero,2048,16,0.023173804001999,0.0221186555720822
qiskit-cpu,zero,2048,17,0.2248373820038978,0.0221402032202238
qiskit-cpu,zero,2048,18,0.0513602919963886,0.0221402032202238
qiskit-cpu,zero,2048,19,0.0760445260093547,0.0220970869120796
qiskit-cpu,zero,2048,20,0.1488720670022303,0.0220862946833957
qiskit-cpu,zero,2048,21,0.2838417110033333,0.0221186555720822
qiskit-cpu,zero,2048,22,0.7862036520091351,0.0220916914567648
qiskit-cpu,zero,2048,23,2.336099927997566,0.0221051776258109
qiskit-cpu,zero,2048,24,4.842851391993463,0.0220957381717657
qiskit-cpu,zero,2048,25,8.42886572300631,0.0220964125522133
qiskit-cpu,zero,2048,26,17.467916847002925,0.022096749734719
qiskit-cpu,zero,2048,27,32.584373527002754,0.0220969183240424
qiskit-cpu,zero,4096,3,0.002135910996003,0.0083437536575366
qiskit-cpu,zero,4096,4,0.0025887889933073,0.0133319559975352
qiskit-cpu,zero,4096,5,0.0033643049973761,0.0211319189534984
qiskit-cpu,zero,4096,6,0.0056031629937933,0.0153866711490124
qiskit-cpu,zero,4096,7,0.0054884889977984,0.0152700154014764
qiskit-cpu,zero,4096,8,0.009393385000294,0.0145627375898503
qiskit-cpu,zero,4096,9,0.0099401729967212,0.0157200781562551
qiskit-cpu,zero,4096,10,0.012482819991419,0.0155600150089142
qiskit-cpu,zero,4096,11,0.0307791360100964,0.0159683646736014
qiskit-cpu,zero,4096,12,0.0179046190023655,0.0156554878338685
qiskit-cpu,zero,4096,13,0.0167683619947638,0.0156516801023677
qiskit-cpu,zero,4096,14,0.0263303000101586,0.0155446849411441
qiskit-cpu,zero,4096,15,0.0251847959880251,0.0156935143359259
qiskit-cpu,zero,4096,16,0.0249182959960307,0.0155638451665129
qiskit-cpu,zero,4096,17,0.0705814730026759,0.0156173687419135
qiskit-cpu,zero,4096,18,0.1312697490066057,0.0156288142317179
qiskit-cpu,zero,4096,19,0.1352326570049626,0.0156288142317179
qiskit-cpu,zero,4096,20,0.1453893050056649,0.0156211848369593
qiskit-cpu,zero,4096,21,0.42346198100131,0.0156173687419135
qiskit-cpu,zero,4096,22,1.056166006004787,0.0156211848369593
qiskit-cpu,zero,4096,23,2.675339849010925,0.0156211848369593
qiskit-cpu,zero,4096,24,4.560654692992102,0.0156230925349376
qiskit-cpu,zero,4096,25,9.505271348010863,0.0156278607610626
