n_bits,shots,sim_time_s,throughput,l2_error,backend,init,method
13,16384,0.058813391005969606,278576.01338336384,0.007713163168664123,CPU,zero,statevector
14,16384,0.06529635599872563,250917.52440702452,0.00780056996219359,CPU,zero,statevector
15,16384,0.04179537500021979,392005.09625559865,0.007765149629653284,CPU,zero,statevector
16,16384,0.08150161900266539,201026.6814388581,0.007807253029294864,CPU,zero,statevector
17,16384,0.13641114901110996,120107.48475306525,0.007812976822607176,CPU,zero,statevector
18,16384,0.22204422000504564,73787.10420666522,0.007798659462541572,CPU,zero,statevector
19,16384,1.1105042550043436,14753.65801271596,0.007826792041948458,CPU,zero,statevector
20,16384,0.7410845550039085,22108.13852396855,0.007803912211144829,CPU,zero,statevector
21,16384,0.7217948579927906,22698.970238665297,0.0078115462674688265,CPU,zero,statevector
22,16384,1.3800558660004754,11871.983159263174,0.007812976822607176,CPU,zero,statevector
23,16384,2.5815100990002975,6346.672827793618,0.0078115462674688265,CPU,zero,statevector
24,16384,5.37485417399148,3048.268747323594,0.0078125,CPU,zero,statevector
25,16384,7.068185447002179,2317.992379069359,0.0078120231482889935,CPU,zero,statevector
26,16384,18.625646956003038,879.6472970147995,0.007813453616115849,CPU,zero,statevector
27,16384,34.34039989199664,477.1056846026551,0.007812976822607176,CPU,zero,statevector
3,32768,0.012712286013993435,2577663.841415276,0.004845284249753257,CPU,zero,statevector
4,32768,0.012750480993418023,2569942.264681254,0.003683915384111958,CPU,zero,statevector
5,32768,0.017101930003263988,1916041.0546497423,0.004225114331024605,CPU,zero,statevector
6,32768,0.019609429000411183,1671032.848499204,0.0055849669353561626,CPU,zero,statevector
7,32768,0.04432778200134635,739220.383257722,0.005136390356437804,CPU,zero,statevector
8,32768,0.03100568099762313,1056838.5839521463,0.0053868496154866885,CPU,zero,statevector
9,32768,0.04527494800277054,723755.6628004257,0.005678074047424764,CPU,zero,statevector
10,32768,0.04290414800925646,763748.9967853548,0.005604941845097888,CPU,zero,statevector
11,32768,0.047987981990445405,682837.632274769,0.0054530053330547,CPU,zero,statevector
12,32768,0.08642748299462255,379138.6589615111,0.005437269885576193,CPU,zero,statevector
13,32768,0.06844333400658797,478761.01413829334,0.005546480621502115,CPU,zero,statevector
14,32768,0.09011648599698674,363618.2618249859,0.005528653262674374,CPU,zero,statevector
15,32768,0.10411515300802421,314728.44301035174,0.005531011112895113,CPU,zero,statevector
16,32768,0.18573315600224305,176425.1504971157,0.0055288217138943115,CPU,zero,statevector
17,32768,0.17021527199540287,192509.1656927528,0.005532526343119598,CPU,zero,statevector
18,32768,0.10968111398688052,298756.99479054834,0.00552292286419122,CPU,zero,statevector
19,32768,0.16696563200093806,196255.95763214253,0.005525957344794864,CPU,zero,statevector
20,32768,0.35266002200660296,92916.68449843877,0.005527642447552539,CPU,zero,statevector
21,32768,0.46979844399902504,69749.06030141727,0.005525957344794864,CPU,zero,statevector
22,32768,1.3318787479947787,24602.840197979087,0.005526294406452734,CPU,zero,statevector
23,32768,2.7197538820037153,12048.148994959403,0.005526462929572585,CPU,zero,statevector
24,32768,5.735880995009211,5712.810295142356,0.0055252831597932955,CPU,zero,statevector
25,32768,9.829928074992495,3333.49336333013,0.0055232601110308584,CPU,zero,statevector
26,32768,17.758858447006787,1845.1636459506194,0.005524777467052197,CPU,zero,statevector
27,32768,32.07412202699925,1021.6335765143208,0.0055246088925188595,CPU,zero,statevector
3,65536,0.02775708300760016,2361055.0136718475,0.0039248025917414005,CPU,zero,statevector
4,65536,0.03430655499687418,1910305.4796953895,0.003887369302717553,CPU,zero,statevector
5,65536,0.04121829700306989,1589973.5012127976,0.003825241774198213,CPU,zero,statevector
6,65536,0.06326598400482908,1035880.5135315314,0.0037659235475835814,CPU,zero,statevector
7,65536,0.10324056498939171,634789.2420652098,0.003803266565419824,CPU,zero,statevector
8,65536,0.08777916600229219,746600.8505741402,0.00390440181879292,CPU,zero,statevector
9,65536,0.09125830901029985,718137.3478288238,0.0038573663441970603,CPU,zero,statevector
10,65536,0.0904412170057185,724625.366284669,0.003933690961074113,CPU,zero,statevector
11,65536,0.10835379900527187,604833.4308685513,0.0038870099212617026,CPU,zero,statevector
12,65536,0.10362890300166328,632410.4386104341,0.0038833543219053725,CPU,zero,statevector
13,65536,0.1228692430013325,533380.0257830942,0.003926522578754889,CPU,zero,statevector
14,65536,0.11452905699843541,572221.5978858124,0.003947162949606,CPU,zero,statevector
15,65536,0.11267563000728842,581634.2007207841,0.0038874890891532248,CPU,zero,statevector
16,65536,0.14449086200329475,453565.0150561467,0.003908395178182866,CPU,zero,statevector
17,65536,0.4398462120007025,148997.53189165881,0.0039045210826896652,CPU,zero,statevector
18,65536,0.21787573499022983,300795.3134521328,0.003903030022045101,CPU,zero,statevector
19,65536,0.3458417729998473,189497.0622881607,0.003903686158894663,CPU,zero,statevector
20,65536,0.4870306789962342,134562.3650137792,0.0039058923557589442,CPU,zero,statevector
21,65536,1.0303799640096258,63603.7212379139,0.003907322736308269,CPU,zero,statevector
22,65536,1.7044571110018296,38449.779449997346,0.003907799413476848,CPU,zero,statevector
23,65536,3.440043431997765,19050.92226174038,0.0039061903949004703,CPU,zero,statevector
24,65536,6.230878618007409,10517.938804103673,0.00390625,CPU,zero,statevector
25,65536,9.537012784989201,6871.753396739753,0.003906428809841787,CPU,zero,statevector
26,65536,20.991051049000816,3122.092354833254,0.0039061903949004703,CPU,zero,statevector
27,65536,36.079892444991856,1816.4133970165663,0.0039065480118560605,CPU,zero,statevector
3,131072,0.05511358199873939,2378215.9541544225,0.0029181212356025926,CPU,zero,statevector
4,131072,0.05205346400907729,2518026.465580526,0.0030834837707128314,CPU,zero,statevector
5,131072,0.05972293000377249,2194667.9439826654,0.0022001247877254486,CPU,zero,statevector
6,131072,0.06128771499788854,2138634.1455953387,0.002170022987873519,CPU,zero,statevector
7,131072,0.10440518399991561,1255416.5892768882,0.0025967975502193463,CPU,zero,statevector
8,131072,0.12469502098974772,1051140.606574633,0.002874328192711109,CPU,zero,statevector
9,131072,0.14898078999249265,879791.2805174742,0.002646267343609789,CPU,zero,statevector
10,131072,0.1563571110018529,838286.1461187188,0.0028362883437487185,CPU,zero,statevector
11,131072,0.14825311799359042,884109.5672987247,0.002722593026268601,CPU,zero,statevector
